,rank,salary,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,studfac,top10,r11_25,r26_40,r41_60
26,7,78325,20518,168,3.6,735,101,,345,0,0,1,0,3.415842,1,0,0,0
27,84,,16036,160,3.29,383,95,,133,0,0,1,0,1.4,0,0,0,0
28,10,67500,19200,163,3.55,400,56,,191,0,0,1,0,3.410714,1,0,0,0
29,112,,12376,154,3.2,198,51,107,188,0,0,0,1,3.686275,0,0,0,0
30,137,29800,13850,156,3.1,210,58,38,235,0,1,0,0,4.051724,0,0,0,0
31,141,28900,13384,155,3.2,208,27,,185,1,0,0,0,6.851852,0,0,0,0
32,47,42300,15221,158,3.2,275,83,,341,0,0,0,1,4.108434,0,0,0,1
33,82,32900,14115,158,3.27,312,109,,373,1,0,0,0,3.422018,0,0,0,0
34,144,29200,,155,3,200,60,94,146,1,0,0,0,2.433333,0,0,0,0
35,76,34500,12500,155,3.3,190,28,73,,1,0,0,0,,0,0,0,0
36,94,,12200,156,3.4,325,61,151,177,0,0,1,0,2.901639,0,0,0,0
37,88,32300,13780,155,3.23,240,65,120,234,0,0,0,1,3.6,0,0,0,0
38,9,60172,19016,169,3.7,450,82,,96,0,0,1,0,1.170732,1,0,0,0
39,89,32093,10353,,,192,58,74,200,0,0,1,0,3.448276,0,0,0,0
40,43,46103,17170,163,3.4,260,78,149,236,0,1,0,0,3.025641,0,0,0,1
41,59,,12570,162,3.53,530,68,76,200,0,1,0,0,2.941176,0,0,0,1
42,81,33900,11400,158,3.3,346,58,24,204,0,1,0,0,3.517241,0,0,0,0
43,22,64880,17900,163,3.3,410,187,144,547,0,0,1,0,2.925134,0,1,0,0
44,142,29336,12100,154,3,186,51,12,134,0,0,1,0,2.627451,0,0,0,0
45,127,,16212,160,3.27,260,50,6,251,0,0,1,0,5.02,0,0,0,0
46,31,61000,17650,163,3.51,403,196,120,475,0,0,1,0,2.423469,0,0,1,0
47,18,62705,18995,166,3.52,728,245,61,643,0,0,1,0,2.62449,0,1,0,0
48,46,45889,7221,163,3.4,456,52,126,241,0,1,0,0,4.634615,0,0,0,1
49,175,,7500,159,3.12,221,41,3,195,0,1,0,0,4.756098,0,0,0,0
50,79,34130,14554,158,3.14,200,109,84,237,0,0,0,1,2.174312,0,0,0,0
51,74,34400,13175,154,3.16,197,43,73,194,0,0,0,1,4.511628,0,0,0,0
52,1,67815,18364,168,3.75,1745,113,173,553,0,0,1,0,4.893806,1,0,0,0
53,139,30580,7820,160,3.42,231,36,12,76,0,0,0,1,2.111111,0,0,0,0
54,28,51082,16740,158,3.25,395,67,,284,0,0,1,0,4.238806,0,0,1,0
55,48,39000,7300,159,3.3,400,113,,310,0,1,0,0,2.743363,0,0,0,1
56,116,29500,9625,152,2.85,240,42,118,161,0,0,1,0,3.833333,0,0,0,0
57,132,27000,6810,152,3.25,146,22,76,96,0,0,0,1,4.363636,0,0,0,0
58,38,40000,12622,161,3.4,593,65,95,205,1,0,0,0,3.153846,0,0,1,0
59,30,50000,12382,160,3.49,510,54,133,209,1,0,0,0,3.87037,0,0,1,0
60,109,31000,11588,159,3.3,410,63,,264,1,0,0,0,4.190476,0,0,0,0
61,172,26000,7225,140,3.15,161,38,,176,0,1,0,0,4.631579,0,0,0,0
62,17,63000,10190,159,3.49,727,54,120,233,0,0,0,1,4.314815,0,1,0,0
63,113,30000,13200,158,3.2,280,188,86,260,1,0,0,0,1.382979,0,0,0,0
64,62,36000,6996,159,3.43,325,39,94,302,0,0,0,1,7.74359,0,0,0,0
65,92,33000,9738,160,3.3,329,48,77,135,0,1,0,0,2.8125,0,0,0,0
66,123,29750,13900,161,3.2,325,100,,246,0,0,0,1,2.46,0,0,0,0
67,83,34750,4247,156,3.35,540,47,78,284,0,1,0,0,6.042553,0,0,0,0
68,93,33900,9639,157,3.2,236,39,139,142,0,1,0,0,3.641026,0,0,0,0
69,73,35000,13950,160,3.24,285,154,,246,1,0,0,0,1.597403,0,0,0,0
70,36,39000,16604,161,3.35,341,96,65,,0,0,0,1,,0,0,1,0
71,155,29640,14663,152,3.1,230,61,71,225,0,1,0,0,3.688524,0,0,0,0
72,150,28420,,157,3.3,280,23,,95,0,0,1,0,4.130435,0,0,0,0
73,40,39500,12600,157,3.2,220,51,93,169,1,0,0,0,3.313725,0,0,1,0
74,57,38000,13245,160,3.35,325,103,,261,0,0,1,0,2.533981,0,0,0,1
75,37,42000,15114,157,3.24,285,88,61,437,0,0,0,1,4.965909,0,0,1,0
76,140,30150,7504,154,3.2,246,41,23,166,0,1,0,0,4.04878,0,0,0,0
77,105,30000,13800,157,3.1,252,49,112,155,0,1,0,0,3.163265,0,0,0,0
78,107,39900,17310,155,3.2,392,138,59,482,0,1,0,0,3.492754,0,0,0,0
79,2,65000,19575,168,3.67,750,97,126,381,1,0,0,0,3.927835,1,0,0,0
80,20,49862,12949,163,3.56,800,128,,270,1,0,0,0,2.109375,0,1,0,0
81,54,40591,6268,153,3.3,260,32,131,170,0,1,0,0,5.3125,0,0,0,1
82,85,34750,10500,153,3,220,35,,151,0,1,0,0,4.314286,0,0,0,0
83,96,36900,12133,154,3.28,245,57,90,159,0,0,0,1,2.789474,0,0,0,0
84,122,29750,9292,155,3.2,124,27,74,77,1,0,0,0,2.851852,0,0,0,0
85,97,34000,8700,156,3.4,304,56,97,162,0,0,0,1,2.892857,0,0,0,0
86,114,29500,11150,152,3.07,242,103,77,402,0,0,1,0,3.902913,0,0,0,0
87,125,29500,8274,158,3.2,350,48,,109,0,1,0,0,2.270833,0,0,0,0
88,86,34700,16670,154,3,377,150,94,447,0,0,1,0,2.98,0,0,0,0
89,11,56200,19740,,,888,105,150,430,0,0,1,0,4.095238,0,1,0,0
90,163,28800,6755,152,3.22,250,,86,,1,0,0,0,,0,0,0,0
91,110,28900,16860,159,3.23,165,55,,209,0,0,1,0,3.8,0,0,0,0
92,160,30000,6512,157,3,200,35,,118,1,0,0,0,3.371428,0,0,0,0
93,167,28000,,151,3.31,234,47,92,172,0,1,0,0,3.659575,0,0,0,0
94,14,67000,18170,162,3.6,557,111,94,203,1,0,0,0,1.828829,0,1,0,0
95,35,53177,16400,161,3.45,340,60,116,175,1,0,0,0,2.916667,0,0,1,0
96,136,29699,16960,156,3,225,41,100,139,1,0,0,0,3.390244,0,0,0,0
97,33,41300,12200,161,3.5,590,57,94,225,1,0,0,0,3.947368,0,0,1,0
98,80,34800,9198,154,3.28,262,40,76,213,0,1,0,0,5.325,0,0,0,0
99,134,27000,10850,151,3.03,216,48,,237,0,1,0,0,4.9375,0,0,0,0
100,53,39000,12680,160,3.5,291,40,101,149,0,0,0,1,3.725,0,0,0,1
101,162,26000,16310,159,3.3,280,78,,232,0,0,1,0,2.974359,0,0,0,0
102,8,65000,19767,165,3.7,540,93,133,238,0,0,1,0,2.55914,1,0,0,0
103,165,24900,2623,146,3.38,211,56,72,149,0,1,0,0,2.660714,0,0,0,0
104,129,28000,13800,159,3.3,301,65,,305,0,0,0,1,4.692307,0,0,0,0
105,148,30135,14040,161,3.23,216,87,,163,0,1,0,0,1.873563,0,0,0,0
106,64,37600,10638,157,3.22,450,37,,222,0,0,1,0,6,0,0,0,0
107,60,39800,10653,161,3.39,393,35,,242,0,0,1,0,6.914286,0,0,0,1
108,70,36000,15500,158,3.2,409,63,,305,0,0,1,0,4.84127,0,0,0,0
109,68,35000,13520,156,3.3,400,59,,259,0,1,0,0,4.389831,0,0,0,0
110,151,29700,,154,3,268,69,58,269,0,1,0,0,3.898551,0,0,0,0
111,52,41000,16480,160,3.25,320,114,31,337,0,0,0,1,2.95614,0,0,0,1
112,56,39000,15800,159,3.17,245,91,73,241,0,0,0,1,2.648352,0,0,0,1
113,61,38750,15540,159,3.32,210,53,73,286,0,0,0,1,5.396226,0,0,0,0
114,87,34700,15870,155,3.16,316,148,34,454,0,0,1,0,3.067568,0,0,0,0
115,118,30000,10546,157,3.2,326,69,118,240,0,0,1,0,3.478261,0,0,0,0
116,153,29650,6910,156,3.24,156,18,84,77,0,0,0,1,4.277778,0,0,0,0
117,168,29500,12600,155,3,290,89,62,464,0,1,0,0,5.213483,0,0,0,0
118,26,52000,17430,164,3.5,330,48,78,200,0,0,0,1,4.166667,0,0,1,0
119,106,30050,9186,156,3.3,302,33,,127,1,0,0,0,3.848485,0,0,0,0
120,42,39000,17372,159,3.18,440,41,62,256,0,1,0,0,6.243902,0,0,0,1
121,75,34900,16240,157,3.15,340,78,74,410,0,0,0,1,5.25641,0,0,0,0
122,6,63000,18186,167,3.78,414,52,92,180,0,0,0,1,3.461539,1,0,0,0
123,146,30000,16585,,,316,83,85,217,0,1,0,0,2.614458,0,0,0,0
124,108,29000,14340,158,3.3,300,130,79,520,0,0,1,0,4,0,0,0,0
125,51,41000,17348,155,3.2,319,75,90,295,0,0,1,0,3.933333,0,0,0,1
126,45,41150,13300,157,3.3,439,190,90,396,0,0,1,0,2.084211,0,0,0,1
127,117,29499,7716,,,345,,95,169,0,1,0,0,,0,0,0,0
128,12,59500,8640,163,3.5,850,,78,523,0,1,0,0,,0,1,0,0
129,170,27000,,145,2.73,300,45,38,230,0,1,0,0,5.111111,0,0,0,0
130,101,35500,4388,157,3.1,260,58,79,232,0,1,0,0,4,0,0,0,0
131,121,29799,,149,,305,51,13,285,1,0,0,0,5.588235,0,0,0,0
132,154,29600,10280,157,3.1,260,58,79,232,1,0,0,0,4,0,0,0,0
133,174,25000,14470,152,2.8,310,65,,286,0,0,1,0,4.4,0,0,0,0
134,100,36000,8715,155,3,260,56,,216,0,1,0,0,3.857143,0,0,0,0
135,29,49000,8529,161,3.55,264,55,,124,0,0,0,1,2.254545,0,0,1,0
136,69,35000,13710,155,3.3,215,42,196,175,1,0,0,0,4.166667,0,0,0,0
137,16,57000,17750,164,3.62,329,75,112,187,0,1,0,0,2.493333,0,1,0,0
138,152,29669,15114,159,3.2,175,53,,163,0,0,1,0,3.075472,0,0,0,0
139,63,37000,15620,160,3.41,420,74,32,228,0,0,1,0,3.081081,0,0,0,0
140,15,64000,15678,164,3.6,700,107,160,380,0,0,1,0,3.551402,0,1,0,0
141,111,29700,14200,162,3.31,250,67,91,165,0,0,1,0,2.462687,0,0,0,0
142,102,35000,7000,154,3.27,251,59,82,148,0,0,0,1,2.508475,0,0,0,0
143,25,49000,10000,163,3.63,450,69,86,148,0,0,0,1,2.144928,0,1,0,0
144,16,51490,13600,163,3.47,297,48,136,125,0,0,1,0,2.604167,0,1,0,0
145,41,41500,17750,160,3.2,476,86,118,210,0,0,0,1,2.44186,0,0,0,1
146,67,35000,6700,158,3.35,415,66,58,234,1,0,0,0,3.545455,0,0,0,0
147,135,27900,11775,153,3.08,301,59,,251,0,0,1,0,4.254237,0,0,0,0
148,156,29630,15960,155,3,230,40,10,247,0,0,0,1,6.175,0,0,0,0
149,138,29750,14200,154,3.1,481,206,,679,0,0,1,0,3.296117,0,0,0,0
150,66,36000,12800,157,3.2,244,39,102,182,0,0,1,0,4.666667,0,0,0,0
151,17,49321,13530,162,3.34,300,50,206,178,0,0,1,0,3.56,0,1,0,0
152,21,49900,11334,161,3.4,,47,,285,1,0,0,0,6.06383,0,1,0,0
153,143,31500,7396,157,3.4,174,17,65,79,0,0,0,1,4.647059,0,0,0,0
154,3,69000,19780,171,3.82,850,100,140,101,0,0,1,0,1.01,1,0,0,0
155,120,29800,12870,,,200,35,,327,1,0,0,0,9.342857,0,0,0,0
